118580,1.5565,0.004�
893,1.4994,-0.0093,2271
895,1.4994,-0.0045,2260
898,1.4923,0.0262,2310
900,1.4923,0.0262,2310
902,1.4923,0.0263,0
904,1.4923,0.0265,2311
906,1.4994,0.0001,2250
908,1.4994,0.0001,2250
910,1.4994,0.0036,2258
912,1.5065,-0.0198,2295
915,1.5065,-0.0198,2295
917,1.5065,-0.0138,0
919,1.5065,-0.0086,2269
921,1.4994,0.0223,2301
923,1.4994,0.0223,2301
926,1.4994,0.0226,0
927,1.4994,0.0229,2303
930,1.4994,0.0229,2303
932,1.4994,0.0232,2303
934,1.4994,0.0234,2304
936,1.5065,-0.0029,2256
938,1.5065,-0.0029,2256
941,1.5137,-0.0257,0
943,1.5137,-0.0192,2294
945,1.5065,0.0128,2279
947,1.5065,0.0128,2279
949,1.5065,0.0142,0
951,1.5065,0.0154,2285
953,1.5065,0.0154,2285
955,1.5065,0.0163,2287
958,1.5065,0.0172,2289
960,1.5065,0.0179,2291
962,1.5065,0.0179,2291
964,1.5137,-0.0079,2268
966,1.5208,-0.0304,0
968,1.5208,-0.0304,0
970,1.5208,-0.0236,2304
973,1.5208,-0.0177,2290
975,1.5137,0.0138,2281
977,1.5137,0.0138,2281
979,1.5137,0.0146,0
981,1.5137,0.0154,2285
983,1.5137,0.0154,2285
985,1.5137,0.0160,2287
988,1.5137,0.0165,2288
990,1.5208,-0.0095,2271
992,1.5208,-0.0095,2271
994,1.5280,-0.0321,0
996,1.5280,-0.0254,2308
999,1.5280,-0.0254,2308
1001,1.5280,-0.0196,2295
1003,1.5208,0.0118,2277
1005,1.5208,0.0126,0
1007,1.5208,0.0126,0
1009,1.5208,0.0133,2280
1012,1.5208,0.0139,2282
1014,1.5208,0.0143,2283
1016,1.5208,0.0143,2283
1018,1.5280,-0.0117,2277
1021,1.5351,-0.0344,0
1023,1.5351,-0.0277,2313
1025,1.5351,-0.0277,2313
1027,1.5280,0.0045,2260
1030,1.5280,0.0060,0
1032,1.5280,0.0060,0
1034,1.5280,0.0073,2266
1036,1.5280,0.0084,2269
1038,1.5280,0.0093,2271
1040,1.5280,0.0093,2271
1043,1.5280,0.0101,2273
1045,1.5280,0.0108,2274
1047,1.5351,-0.0151,2284
1050,1.5351,-0.0151,2284
1052,1.5422,-0.0377,0
1054,1.5422,-0.0308,2321
1056,1.5422,-0.0250,2307
1059,1.5422,-0.0250,2307
1061,1.5351,0.0065,2264
1063,1.5351,0.0073,0
1065,1.5351,0.0080,2268
1068,1.5351,0.0080,2268
1070,1.5351,0.0087,2270
1072,1.5351,0.0092,2271
1074,1.5351,0.0097,2272
1077,1.5351,0.0097,2272
1079,1.5422,-0.0164,2288
1081,1.5422,-0.0127,0
1083,1.5494,-0.0359,2333
1086,1.5494,-0.0359,2333
1088,1.5422,-0.0032,2257
1090,1.5422,-0.0013,2253
1093,1.5351,0.0267,2311
1095,1.5351,0.0247,0
1097,1.5351,0.0247,0
1099,1.5351,0.0229,2302
1101,1.5422,-0.0051,2261
1103,1.5422,-0.0051,2261
1106,1.5422,-0.0029,0
1108,1.5422,-0.0011,2252
1110,1.5422,0.0005,2251
1112,1.5422,0.0005,2251
1115,1.5422,0.0018,0
1117,1.5351,0.0295,2318
1119,1.5422,0.0005,2251
1121,1.5422,0.0005,2251
1123,1.5422,0.0019,2254
1126,1.5422,0.0030,2257
1128,1.5494,-0.0225,2301
1130,1.5494,-0.0225,2301
1133,1.5494,-0.0182,0
1135,1.5494,-0.0145,2283
1137,1.5494,-0.0114,2276
1139,1.5494,-0.0114,2276
1142,1.5422,0.0178,2291
1144,1.5351,0.0431,0
1146,1.5422,0.0123,2278
1148,1.5422,0.0123,2278
1150,1.5422,0.0119,2277
1153,1.5422,0.0116,2276
1155,1.5494,-0.0151,2284
1157,1.5494,-0.0151,2284
1160,1.5494,-0.0119,0
1162,1.5494,-0.0091,2271
1164,1.5422,0.0197,2295
1166,1.5422,0.0197,2295
1169,1.5351,0.0448,0
1171,1.5351,0.0402,2342
1173,1.5422,0.0097,2272
1175,1.5422,0.0097,2272
1177,1.5422,0.0097,2272
1180,1.5422,0.0097,2272
1182,1.5494,-0.0167,2288
1184,1.5494,-0.0167,2288
1187,1.5494,-0.0132,0
1189,1.5494,-0.0103,2273
1191,1.5422,0.0187,2293
1193,1.5422,0.0187,2293
1195,1.5351,0.0439,0
1197,1.5351,0.0394,2341
1200,1.5351,0.0394,2341
1202,1.5351,0.0355,2332
1204,1.5422,0.0057,2263
1206,1.5422,0.0063,2264
1209,1.5422,0.0063,2264
1211,1.5494,-0.0196,2295
1213,1.5494,-0.0158,0
1215,1.5494,-0.0124,2278
1218,1.5494,-0.0124,2278
1220,1.5422,0.0169,2289
1222,1.5422,0.0159,0
1224,1.5422,0.0150,2284
1227,1.5422,0.0150,2284
1229,1.5422,0.0143,2283
1231,1.5422,0.0137,2281
1233,1.5422,0.0131,2280
1236,1.5422,0.0131,2280
1238,1.5494,-0.0138,2281
1240,1.5565,-0.0372,0
1242,1.5494,-0.0047,2260
1245,1.5494,-0.0047,2260
1247,1.5494,-0.0030,2256
1249,1.5422,0.0250,2307
1252,1.5422,0.0228,0
1254,1.5422,0.0228,0
1256,1.5422,0.0210,2298
1258,1.5494,-0.0071,2266
1260,1.5494,-0.0050,0
1262,1.5494,-0.0050,0
1264,1.5494,-0.0032,2257
1267,1.5494,-0.0017,2253
1269,1.5494,-0.0004,2250
1271,1.5494,-0.0004,2250
1274,1.5422,0.0272,2312
1276,1.5422,0.0247,0
1278,1.5422,0.0226,2302
1280,1.5422,0.0226,2302
1282,1.5494,-0.0057,2263
1285,1.5494,-0.0038,0
1287,1.5494,-0.0022,2255
1289,1.5494,-0.0022,2255
1291,1.5494,-0.0008,2251
1294,1.5422,0.0268,2312
1296,1.5422,0.0244,0
1298,1.5422,0.0244,0
1300,1.5422,0.0223,2301
1302,1.5422,0.0205,2297
1305,1.5422,0.0205,2297
1307,1.5422,0.0190,2293
1309,1.5494,-0.0088,2270
1311,1.5494,-0.0064,0
1313,1.5494,-0.0064,0
1316,1.5494,-0.0045,2260
1318,1.5494,-0.0028,2256
1320,1.5422,0.0252,2308
1323,1.5422,0.0252,2308
1325,1.5422,0.0230,0
1327,1.5351,0.0476,2360
1329,1.5351,0.0425,2348
1331,1.5351,0.0425,2348
1334,1.5422,0.0117,2277
1336,1.5422,0.0115,2276
1338,1.5494,-0.0152,2285
1340,1.5494,-0.0152,2285
1343,1.5494,-0.0120,0
1345,1.5494,-0.0092,2271
1347,1.5422,0.0197,2295
1349,1.5422,0.0197,2295
1352,1.5351,0.0447,0
1354,1.5351,0.0401,2342
1356,1.5351,0.0361,2333
1358,1.5351,0.0361,2333
1360,1.5422,0.0062,2264
1363,1.5422,0.0068,2265
1365,1.5494,-0.0193,2294
1367,1.5494,-0.0193,2294
1370,1.5494,-0.0154,0
1372,1.5494,-0.0122,2278
1374,1.5422,0.0171,2289
1376,1.5422,0.0171,2289
1378,1.5422,0.0161,0
1380,1.5351,0.0417,2346
1383,1.5351,0.0417,2346
1385,1.5351,0.0375,2336
1387,1.5351,0.0339,2328
1390,1.5422,0.0043,2259
1392,1.5422,0.0051,2261
1394,1.5422,0.0051,2261
1396,1.5494,-0.0207,2297
1399,1.5494,-0.0166,0
1401,1.5494,-0.0166,0
1403,1.5494,-0.0132,2280
1405,1.5422,0.0162,2287
1407,1.5422,0.0153,0
1409,1.5422,0.0153,0
1411,1.5422,0.0145,2283
1414,1.5422,0.0139,2282
1416,1.5422,0.0133,2280
1418,1.5422,0.0133,2280
1420,1.5494,-0.0137,2281
1423,1.5494,-0.0106,0
1425,1.5494,-0.0080,2268
1427,1.5494,-0.0080,2268
1429,1.5494,-0.0058,2263
1432,1.5494,-0.0039,2259
1434,1.5422,0.0242,2305
1436,1.5422,0.0242,2305
1439,1.5422,0.0221,0
1441,1.5422,0.0204,2297
1443,1.5422,0.0189,2293
1445,1.5422,0.0189,2293
1447,1.5494,-0.0089,2270
1450,1.5494,-0.0066,0
1452,1.5494,-0.0046,2260
1454,1.5494,-0.0046,2260
1457,1.5494,-0.0028,2256
1459,1.5422,0.0251,2308
1461,1.5422,0.0229,0
1463,1.5422,0.0229,0
1465,1.5422,0.0211,2298
1467,1.5422,0.0195,2294
1470,1.5422,0.0195,2294
1472,1.5422,0.0181,2291
1474,1.5494,-0.0096,2272
1476,1.5494,-0.0071,0
1479,1.5494,-0.0071,0
1481,1.5494,-0.0050,2261
1483,1.5494,-0.0033,2257
1485,1.5422,0.0248,2307
1488,1.5422,0.0248,2307
1490,1.5351,0.0491,0
1492,1.5422,0.0174,2290
1494,1.5422,0.0163,2287
1496,1.5422,0.0163,2287
1499,1.5422,0.0154,2285
1501,1.5494,-0.0119,2277
1503,1.5494,-0.0091,0
1505,1.5494,-0.0091,0
1507,1.5422,0.0197,2295
1510,1.5422,0.0183,0
1512,1.5422,0.0183,0
1514,1.5422,0.0171,2289
1516,1.5351,0.0425,2348
1518,1.5351,0.0382,2338
1520,1.5351,0.0382,2338
1523,1.5422,0.0080,2268
1525,1.5422,0.0083,2269
1527,1.5494,-0.0179,2291
1529,1.5494,-0.0179,2291
1532,1.5494,-0.0143,0
1534,1.5494,-0.0112,2275
1536,1.5422,0.0180,2291
1538,1.5422,0.0180,2291
1541,1.5351,0.0433,0
1543,1.5422,0.0124,2278
1545,1.5422,0.0120,2277
1547,1.5422,0.0120,2277
1549,1.5494,-0.0148,2284
1552,1.5494,-0.0116,0
1554,1.5494,-0.0089,2270
1556,1.5494,-0.0089,2270
1559,1.5422,0.0199,2296
1561,1.5422,0.0185,0
1563,1.5422,0.0173,2289
1565,1.5422,0.0173,2289
1567,1.5422,0.0162,2287
1570,1.5422,0.0153,2285
1572,1.5494,-0.0119,2277
1574,1.5494,-0.0119,2277
1576,1.5494,-0.0092,0
1579,1.5565,-0.0333,0
1581,1.5565,-0.0333,0
1583,1.5494,-0.0013,2253
1585,1.5494,-0.0001,2250
1587,1.5494,0.0010,2252
1590,1.5494,0.0010,2252
1592,1.5422,0.0284,0
1594,1.5422,0.0258,2309
1596,1.5422,0.0235,2304
1598,1.5422,0.0235,2304
1601,1.5494,-0.0049,2261
1603,1.5494,-0.0032,0
1605,1.5565,-0.0281,0
1607,1.5565,-0.0281,0
1609,1.5565,-0.0234,0
1611,1.5494,0.0071,2266
1614,1.5494,0.0071,2266
1616,1.5494,0.0072,0
1618,1.5494,0.0072,2266
1620,1.5565,-0.0192,0
1622,1.5565,-0.0192,0
1624,1.5565,-0.0158,0
1626,1.5565,-0.0128,0
1628,1.5565,-0.0128,0
1630,1.5565,-0.0102,0
1633,1.5494,0.0184,2292
1635,1.5494,0.0168,0
1637,1.5494,0.0168,0
1639,1.5494,0.0155,2285
1641,1.5565,-0.0122,0
1643,1.5565,-0.0122,0
1645,1.5565,-0.0097,0
1647,1.5565,-0.0076,0
1649,1.5565,-0.0076,0
1651,1.5565,-0.0058,0
1653,1.5565,-0.0043,0
1656,1.5565,-0.0043,0
1658,1.5494,0.0235,2304
1660,1.5494,0.0212,0
1662,1.5494,0.0192,2294
1664,1.5494,0.0192,2294
1666,1.5494,0.0176,2290
1669,1.5565,-0.0104,0
1671,1.5565,-0.0104,0
1673,1.5565,-0.0082,0
1675,1.5565,-0.0063,0
1677,1.5565,-0.0047,0
1679,1.5565,-0.0047,0
1681,1.5494,0.0232,2303
1683,1.5494,0.0209,0
1685,1.5494,0.0209,0
1687,1.5494,0.0190,2293
1690,1.5494,0.0173,2290
1692,1.5494,0.0159,2286
1694,1.5494,0.0159,2286
1696,1.5494,0.0147,2283
1699,1.5565,-0.0128,0
1701,1.5565,-0.0128,0
1703,1.5565,-0.0103,0
1705,1.5565,-0.0081,0
1707,1.5565,-0.0062,0
1709,1.5565,-0.0062,0
1711,1.5565,-0.0046,0
1713,1.5565,-0.0033,0
1715,1.5565,-0.0033,0
1717,1.5565,-0.0021,0
1719,1.5565,-0.0011,0
1722,1.5565,-0.0011,0
1724,1.5565,-0.0002,0
1726,1.5565,0.0005,0
1728,1.5565,0.0005,0
1730,1.5565,0.0012,0
1732,1.5494,0.0282,2315
1734,1.5494,0.0252,2308
1736,1.5494,0.0252,2308
1738,1.5494,0.0227,2302
1741,1.5565,-0.0060,0
1743,1.5565,-0.0044,0
1745,1.5565,-0.0044,0
1747,1.5565,-0.0031,0
1749,1.5565,-0.0019,0
1751,1.5565,-0.0019,0
1753,1.5565,-0.0010,0
1755,1.5565,-0.0001,0
1757,1.5565,-0.0001,0
1759,1.5565,0.0006,0
1761,1.5565,0.0012,0
1763,1.5565,0.0012,0
1765,1.5565,0.0018,0
1767,1.5565,0.0022,0
1769,1.5565,0.0022,0
1771,1.5565,0.0026,0
1773,1.5565,0.0029,0
1775,1.5565,0.0029,0
1777,1.5565,0.0032,0
1779,1.5565,0.0035,0
1781,1.5565,0.0035,0
1783,1.5565,0.0037,0
1785,1.5565,0.0039,0
1787,1.5565,0.0039,0
1789,1.5565,0.0040,0
1791,1.5565,0.0042,0
1793,1.5565,0.0042,0
1795,1.5565,0.0043,0
1797,1.5565,0.0044,0
1799,1.5565,0.0044,0
1801,1.5565,0.0045,0
1803,1.5565,0.0045,0
1805,1.5565,0.0045,0
1807,1.5565,0.0046,0
1809,1.5565,0.0046,0
1811,1.5565,0.0046,0
1813,1.5494,0.0312,2322
1815,1.5494,0.0278,2314
1818,1.5494,0.0278,2314
1820,1.5494,0.0248,2307
1822,1.5565,-0.0041,0
1824,1.5565,-0.0028,0
1826,1.5565,-0.0028,0
1828,1.5565,-0.0017,0
1831,1.5565,-0.0008,0
1833,1.5565,-0.0008,0
1835,1.5565,0.0001,0
1837,1.5565,0.0008,0
1839,1.5565,0.0008,0
1841,1.5565,0.0014,0
1843,1.5565,0.0019,0
1845,1.5565,0.0019,0
1847,1.5565,0.0023,0
1849,1.5565,0.0027,0
1851,1.5565,0.0027,0
1853,1.5565,0.0030,0
1855,1.5565,0.0033,0
1857,1.5565,0.0033,0
1859,1.5565,0.0035,0
1861,1.5565,0.0037,0
1863,1.5565,0.0037,0
1865,1.5494,0.0304,2320
1867,1.5494,0.0271,2312
1869,1.5494,0.0243,2306
1871,1.5494,0.0243,2306
1874,1.5494,0.0219,2300
1876,1.5494,0.0198,2295
1878,1.5565,-0.0085,0
1880,1.5565,-0.0085,0
1882,1.5565,-0.0065,0
1884,1.5565,-0.0049,0
1886,1.5565,-0.0049,0
1889,1.5565,-0.0035,0
1891,1.5565,-0.0023,0
1893,1.5565,-0.0023,0
1895,1.5565,-0.0012,0
1897,1.5565,-0.0004,0
1899,1.5565,0.0004,0
1901,1.5565,0.0004,0
1903,1.5565,0.0011,0
1905,1.5565,0.0016,0
1907,1.5565,0.0016,0
1909,1.5494,0.0286,2316
1911,1.5494,0.0255,2309
1913,1.5494,0.0255,2309
1916,1.5494,0.0229,2303
1918,1.5494,0.0207,2297
1920,1.5565,-0.0077,0
1922,1.5565,-0.0077,0
1924,1.5565,-0.0059,0
1926,1.5565,-0.0043,0
1928,1.5565,-0.0043,0
1931,1.5565,-0.0030,0
1933,1.5565,-0.0018,0
